679,2025746,2046,2004,7.5,12000000.0,10,36832
680,2025746,2046,2004,7.5,12000000.0,14,36832
681,2025746,2046,2004,7.5,12000000.0,25,36832
682,2025746,2046,2004,7.5,12000000.0,26,36832
703,2025829,"21 & Over",2013,5.8,13000000.0,6,47785
704,2025835,21,2008,6.8,35000000.0,5,168358
705,2025835,21,2008,6.8,35000000.0,8,168358
706,2025835,21,2008,6.8,35000000.0,10,168358
707,2025835,21,2008,6.8,35000000.0,30,168358
713,2025862,"21 Grams",2003,7.7,20000000.0,8,161509
714,2025862,"21 Grams",2003,7.7,20000000.0,10,161509
715,2025862,"21 Grams",2003,7.7,20000000.0,30,161509
716,2025872,"21 Jump Street",2012,7.2,42000000.0,1,300115
717,2025872,"21 Jump Street",2012,7.2,42000000.0,6,300115
718,2025872,"21 Jump Street",2012,7.2,42000000.0,8,300115
733,2025974,"22 Jump Street",2014,7.3,50000000.0,1,109301
734,2025974,"22 Jump Street",2014,7.3,50000000.0,6,109301
735,2025974,"22 Jump Street",2014,7.3,50000000.0,8,109301
767,2026314,247°F,2011,5,650000.0,18,3404
768,2026314,247°F,2011,5,650000.0,30,3404
775,2026430,"25 Watts",2001,7.1,200000.0,6,1143
776,2026430,"25 Watts",2001,7.1,200000.0,10,1143
786,2026492,"25th Hour",2002,7.7,15000000.0,8,135042
787,2026492,"25th Hour",2002,7.7,15000000.0,10,135042
798,2026552,"27 Dresses",2008,6.1,30000000.0,6,97487
799,2026552,"27 Dresses",2008,6.1,30000000.0,25,97487
800,2026563,"27 Missing Kisses",2000,6.8,2542684.6,6,1123
801,2026563,"27 Missing Kisses",2000,6.8,2542684.6,10,1123
802,2026563,"27 Missing Kisses",2000,6.8,2542684.6,25,1123
806,2026594,"28 Days",2000,5.9,43000000.0,6,29951
807,2026594,"28 Days",2000,5.9,43000000.0,10,29951
808,2026595,"28 Days Later...",2002,7.6,8000000.0,18,248668
820,2026669,"29 Palms",2002,4.9,5000000.0,6,1473
821,2026669,"29 Palms",2002,4.9,5000000.0,8,1473
822,2026669,"29 Palms",2002,4.9,5000000.0,10,1473
823,2026669,"29 Palms",2002,4.9,5000000.0,30,1473
835,2026710,2:37,2006,7,823050.0,10,5578
849,2026824,3,2012,7,3570160.0,10,1722
850,2026824,3,2012,7,3570160.0,22,1722
851,2026824,3,2012,7,3570160.0,25,1722
852,2026824,3,2012,7,3570160.0,30,1722
864,2026967,"3 Days to Kill",2014,6.2,28000000.0,1,44939
865,2026967,"3 Days to Kill",2014,6.2,28000000.0,10,44939
866,2026967,"3 Days to Kill",2014,6.2,28000000.0,30,44939
876,2027086,"3 Men and a Baby",1987,5.8,11000000.0,6,32207
877,2027086,"3 Men and a Baby",1987,5.8,11000000.0,10,32207
878,2027086,"3 Men and a Baby",1987,5.8,11000000.0,13,32207
880,2027147,"3 Needles",2005,6.6,2505741.0,10,1179
881,2027152,"3 Ninjas",1992,5.1,6500000.0,1,14043
882,2027152,"3 Ninjas",1992,5.1,6500000.0,6,14043
883,2027152,"3 Ninjas",1992,5.1,6500000.0,13,14043
884,2027152,"3 Ninjas",1992,5.1,6500000.0,28,14043
885,2027153,"3 Ninjas Kick Back",1994,4.1,20000000.0,1,5674
886,2027153,"3 Ninjas Kick Back",1994,4.1,20000000.0,6,5674
887,2027153,"3 Ninjas Kick Back",1994,4.1,20000000.0,13,5674
897,2027249,"3 Strikes",2000,3.8,6000000.0,6,1329
907,2027299,"3 Women",1977,7.9,1500000.0,10,7203
916,2027451,"30 Days of Night",2007,6.6,32000000.0,18,121349
917,2027451,"30 Days of Night",2007,6.6,32000000.0,30,121349
926,2027499,"30 Minutes or Less",2011,6.2,28000000.0,1,68974
927,2027499,"30 Minutes or Less",2011,6.2,28000000.0,6,68974
928,2027499,"30 Minutes or Less",2011,6.2,28000000.0,8,68974
929,2027509,"30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo",2013,2.7,3000000.0,6,2624
932,2027604,300,2006,7.8,65000000.0,1,500527
933,2027604,300,2006,7.8,65000000.0,14,500527
934,2027604,300,2006,7.8,65000000.0,31,500527
939,2027649,"3000 Miles to Graceland",2001,5.9,42000000.0,1,35004
940,2027649,"3000 Miles to Graceland",2001,5.9,42000000.0,6,35004
941,2027649,"3000 Miles to Graceland",2001,5.9,42000000.0,8,35004
942,2027649,"3000 Miles to Graceland",2001,5.9,42000000.0,30,35004
945,2027656,"300: Rise of an Empire",2014,6.4,110000000.0,1,149419
946,2027656,"300: Rise of an Empire",2014,6.4,110000000.0,10,149419
947,2027656,"300: Rise of an Empire",2014,6.4,110000000.0,14,149419
948,2027656,"300: Rise of an Empire",2014,6.4,110000000.0,31,149419
972,2027891,"36 China Town",2006,5.5,2434200.0,6,2096
973,2027891,"36 China Town",2006,5.5,2434200.0,22,2096
974,2027891,"36 China Town",2006,5.5,2434200.0,30,2096
978,2027911,"36 Quai des Orfèvres",2004,7.2,15703912.0,1,12438
979,2027911,"36 Quai des Orfèvres",2004,7.2,15703912.0,8,12438
980,2027911,"36 Quai des Orfèvres",2004,7.2,15703912.0,10,12438
981,2027911,"36 Quai des Orfèvres",2004,7.2,15703912.0,30,12438
1003,2028075,"3:10 to Yuma",2007,7.8,55000000.0,3,202545
1004,2028075,"3:10 to Yuma",2007,7.8,55000000.0,8,202545
1005,2028075,"3:10 to Yuma",2007,7.8,55000000.0,10,202545
1006,2028075,"3:10 to Yuma",2007,7.8,55000000.0,32,202545
1015,2028133,"3D Rou pu tuan: Ji le bao jian",2011,4.4,2580000.0,6,1707
1016,2028133,"3D Rou pu tuan: Ji le bao jian",2011,4.4,2580000.0,10,1707
1048,2028337,"4 luni, 3 saptamâni si 2 zile",2007,7.9,693840.0,10,40028
1062,2028446,4.3.2.1.,2010,5.9,4600000.0,8,8013
1063,2028446,4.3.2.1.,2010,5.9,4600000.0,30,8013
1069,2028471,"40 Days and 40 Nights",2002,5.6,17000000.0,6,57149
1070,2028471,"40 Days and 40 Nights",2002,5.6,17000000.0,25,57149
1098,2028676,42,2013,7.6,40000000.0,5,53882
1099,2028676,42,2013,7.6,40000000.0,10,53882
1100,2028676,42,2013,7.6,40000000.0,28,53882
1103,2028724,"42nd Street",1933,7.7,439000.0,6,6897
1104,2028724,"42nd Street",1933,7.7,439000.0,21,6897
1105,2028724,"42nd Street",1933,7.7,439000.0,25,6897
1114,2028831,"46-okunen no koi",2006,6.9,10000000.0,10,1504
1115,2028831,"46-okunen no koi",2006,6.9,10000000.0,14,1504
1116,2028852,"47 Ronin",2013,6.3,175000000.0,1,86020
1117,2028852,"47 Ronin",2013,6.3,175000000.0,3,86020
1118,2028852,"47 Ronin",2013,6.3,175000000.0,14,86020
1131,2028956,"49th Parallel",1941,7.5,199709.4,10,3745
1132,2028956,"49th Parallel",1941,7.5,199709.4,30,3745
1133,2028956,"49th Parallel",1941,7.5,199709.4,31,3745
1134,2028961,"4: Rise of the Silver Surfer",2007,5.6,130000000.0,1,176742
1135,2028961,"4: Rise of the Silver Surfer",2007,5.6,130000000.0,14,176742
1136,2028961,"4: Rise of the Silver Surfer",2007,5.6,130000000.0,26,176742
1137,2028961,"4: Rise of the Silver Surfer",2007,5.6,130000000.0,30,176742
1162,2029128,"5 Days of War",2011,5.6,20000000.0,1,10995
1163,2029128,"5 Days of War",2011,5.6,20000000.0,10,10995
1164,2029128,"5 Days of War",2011,5.6,20000000.0,31,10995
1188,2029425,"50 First Dates",2004,6.8,75000000.0,6,221871
1189,2029425,"50 First Dates",2004,6.8,75000000.0,25,221871
1195,2029554,50/50,2011,7.8,8000000.0,6,230178
1196,2029554,50/50,2011,7.8,8000000.0,10,230178
1199,2029589,"500 MPH Storm",2013,2.2,300000.0,1,1112
1200,2029589,"500 MPH Storm",2013,2.2,300000.0,26,1112
1204,2029629,51,2011,3.4,1000000.0,18,2330
1205,2029629,51,2011,3.4,1000000.0,26,2330
1211,2029701,54,1998,5.7,13000000.0,10,25474
1212,2029701,54,1998,5.7,13000000.0,17,25474
1213,2029722,"55 Days at Peking",1963,6.8,17000000.0,1,3811
1214,2029722,"55 Days at Peking",1963,6.8,17000000.0,10,3811
1215,2029722,"55 Days at Peking",1963,6.8,17000000.0,17,3811
1216,2029722,"55 Days at Peking",1963,6.8,17000000.0,31,3811
1220,2029817,"5ive Girls",2006,4.6,3000000.0,18,2456
1221,2029817,"5ive Girls",2006,4.6,3000000.0,30,2456
1230,2029879,"6 Bullets",2012,6.1,10000000.0,1,9577
1231,2029879,"6 Bullets",2012,6.1,10000000.0,8,9577
1232,2029879,"6 Bullets",2012,6.1,10000000.0,30,9577
1248,2029963,"6 Souls",2010,6.1,22000000.0,18,21897
1249,2029963,"6 Souls",2010,6.1,22000000.0,22,21897
1250,2029963,"6 Souls",2010,6.1,22000000.0,30,21897
1300,2030343,"7 Aum Arivu",2011,5.7,13793800.0,1,5438
1301,2030343,"7 Aum Arivu",2011,5.7,13793800.0,26,5438
1302,2030343,"7 Aum Arivu",2011,5.7,13793800.0,30,5438
1305,2030347,"7 Below",2012,3.2,6000000.0,18,3095
1306,2030347,"7 Below",2012,3.2,6000000.0,30,3095
1309,2030407,"7 días en La Habana",2012,6,3469200.0,10,2405
1312,2030437,"7 Khoon Maaf",2011,6.2,4770000.0,10,3455
1313,2030437,"7 Khoon Maaf",2011,6.2,4770000.0,22,3455
1314,2030437,"7 Khoon Maaf",2011,6.2,4770000.0,30,3455
1315,2030442,"7 kocali Hürmüz",2009,6.4,0.859828,6,2498
1361,2030808,"7eventy 5ive",2007,4.8,3000000.0,18,2152
1362,2030808,"7eventy 5ive",2007,4.8,3000000.0,30,2152
1377,2030906,"8 femmes",2002,7.1,9251200.0,6,21162
1378,2030906,"8 femmes",2002,7.1,9251200.0,8,21162
1379,2030906,"8 femmes",2002,7.1,9251200.0,21,21162
1380,2030906,"8 femmes",2002,7.1,9251200.0,22,21162
1381,2030918,"8 Heads in a Duffel Bag",1997,5.2,3000000.0,6,7382
1382,2030918,"8 Heads in a Duffel Bag",1997,5.2,3000000.0,8,7382
1384,2030940,"8 Mile",2002,6.9,41000000.0,10,148717
1385,2030940,"8 Mile",2002,6.9,41000000.0,20,148717
1387,2030944,"8 Million Ways to Die",1986,5.6,18000000.0,1,2902
1388,2030944,"8 Million Ways to Die",1986,5.6,18000000.0,3,2902
1389,2030944,"8 Million Ways to Die",1986,5.6,18000000.0,8,2902
1390,2030944,"8 Million Ways to Die",1986,5.6,18000000.0,30,2902
1400,2030980,"8 Seconds",1994,6.5,7000000.0,5,3449
1401,2030980,"8 Seconds",1994,6.5,7000000.0,10,3449
1402,2030980,"8 Seconds",1994,6.5,7000000.0,28,3449
1403,2030980,"8 Seconds",1994,6.5,7000000.0,32,3449
1407,2031002,"8 x 10 Tasveer",2009,5.2,567980.0,8,1426
1408,2031002,"8 x 10 Tasveer",2009,5.2,567980.0,10,1426
1409,2031002,"8 x 10 Tasveer",2009,5.2,567980.0,22,1426
1410,2031002,"8 x 10 Tasveer",2009,5.2,567980.0,26,1426
1411,2031002,"8 x 10 Tasveer",2009,5.2,567980.0,30,1426
1412,2031026,8-Pallo,2013,6.3,1503320.0,8,1012
1413,2031026,8-Pallo,2013,6.3,1503320.0,10,1012
1433,2031183,"88 Minutes",2007,5.9,30000000.0,8,58781
1434,2031183,"88 Minutes",2007,5.9,30000000.0,10,58781
1435,2031183,"88 Minutes",2007,5.9,30000000.0,22,58781
1436,2031183,"88 Minutes",2007,5.9,30000000.0,30,58781
1440,2031205,"8: The Mormon Proposition",2010,7.1,2500000.0,9,1039
1444,2031231,8MM,1999,6.5,40000000.0,8,94105
1445,2031231,8MM,1999,6.5,40000000.0,10,94105
1446,2031231,8MM,1999,6.5,40000000.0,22,94105
1447,2031231,8MM,1999,6.5,40000000.0,30,94105
1450,2031256,9,2009,7.1,30000000.0,1,93370
1451,2031256,9,2009,7.1,30000000.0,3,93370
1452,2031256,9,2009,7.1,30000000.0,4,93370
1453,2031256,9,2009,7.1,30000000.0,10,93370
1454,2031256,9,2009,7.1,30000000.0,14,93370
1455,2031256,9,2009,7.1,30000000.0,22,93370
1456,2031256,9,2009,7.1,30000000.0,26,93370
1457,2031256,9,2009,7.1,30000000.0,30,93370
1460,2031335,"9 rota",2005,7.2,9500000.0,1,14680
1461,2031335,"9 rota",2005,7.2,9500000.0,10,14680
1462,2031335,"9 rota",2005,7.2,9500000.0,17,14680
1463,2031335,"9 rota",2005,7.2,9500000.0,31,14680
1464,2031339,"9 Songs",2004,4.9,1512950.0,10,15437
1465,2031339,"9 Songs",2004,4.9,1512950.0,20,15437
1466,2031339,"9 Songs",2004,4.9,1512950.0,25,15437
1524,2032022,"A Bag of Hammers",2011,6.7,2000000.0,6,2137
1525,2032022,"A Bag of Hammers",2011,6.7,2000000.0,10,2137
1538,2032207,"A Beautiful Mind",2001,8.2,60000000.0,5,438910
1539,2032207,"A Beautiful Mind",2001,8.2,60000000.0,10,438910
1552,2032316,"A Better Life",2011,7.2,10000000.0,10,11566
1593,2032881,"A Bridge Too Far",1977,7.4,26000000.0,10,35199
1594,2032881,"A Bridge Too Far",1977,7.4,26000000.0,17,35199
1595,2032881,"A Bridge Too Far",1977,7.4,26000000.0,31,35199
1613,2032989,"A Bronx Tale",1993,7.8,22000000.0,8,84620
1614,2032989,"A Bronx Tale",1993,7.8,22000000.0,10,84620
1619,2033039,"A Bucket of Blood",1959,6.8,50000.0,6,3412
1620,2033039,"A Bucket of Blood",1959,6.8,50000.0,18,3412
1621,2033050,"A Bug's Life",1998,7.2,120000000.0,3,174154
1622,2033050,"A Bug's Life",1998,7.2,120000000.0,4,174154
1623,2033050,"A Bug's Life",1998,7.2,120000000.0,6,174154
1624,2033050,"A Bug's Life",1998,7.2,120000000.0,13,174154
1635,2033287,"A Canterbury Tale",1944,7.7,650000.0,6,3022
1636,2033287,"A Canterbury Tale",1944,7.7,650000.0,10,3022
1637,2033287,"A Canterbury Tale",1944,7.7,650000.0,22,3022
1638,2033287,"A Canterbury Tale",1944,7.7,650000.0,31,3022
1661,2033907,"A Chorus Line",1985,6,27000000.0,10,6742
1662,2033907,"A Chorus Line",1985,6,27000000.0,20,6742
1663,2033907,"A Chorus Line",1985,6,27000000.0,21,6742
1665,2033949,"A Christmas Carol",2009,6.8,200000000.0,4,55268
1666,2033949,"A Christmas Carol",2009,6.8,200000000.0,10,55268
1667,2033949,"A Christmas Carol",2009,6.8,200000000.0,13,55268
1668,2033949,"A Christmas Carol",2009,6.8,200000000.0,14,55268
1679,2034005,"A Christmas Story",1983,8.1,4000000.0,6,92654
1680,2034005,"A Christmas Story",1983,8.1,4000000.0,6,92654
1681,2034005,"A Christmas Story",1983,8.1,4000000.0,13,92654
1682,2034005,"A Christmas Story",1983,8.1,4000000.0,13,92654
1692,2034078,"A Cinderella Story",2004,5.8,20000000.0,6,49445
1693,2034078,"A Cinderella Story",2004,5.8,20000000.0,13,49445
1694,2034078,"A Cinderella Story",2004,5.8,20000000.0,25,49445
1695,2034136,"A Civil Action",1998,6.5,60000000.0,10,20811
1701,2034214,"A Clockwork Orange",1971,8.4,2200000.0,8,423921
1702,2034214,"A Clockwork Orange",1971,8.4,2200000.0,10,423921
