Director,Rating
553938,6.0
554286,4.9
554423,6.25
554449,8.2
554752,5.15
555808,7.0
556557,6.45
556578,6.22
556853,6.97
556944,8.1
557177,4.2
557358,7.28
558892,6.4
558936,6.9
558942,7.3
559030,6.1
559125,7.4
559409,6.45
559897,4.1
560130,5.7
560152,5.7
560641,4.3
561127,4.08
561136,6.17
562810,6.85
562921,6.9
563223,7.1
563624,7.07
563663,7.5
564567,7.4
564679,6.4
564799,8.3
564900,1.9
565175,7.57
565454,5.93
566674,5.5
567789,8.2
568119,6.18
568215,7.1
568784,6.43
568912,6.3
569127,5.8
569421,6.1
569464,5.85
569544,5.2
569577,7.6
569935,4.1
570267,6.3
570644,5.7
570651,5.1
571123,6.9
571418,7.1
571573,6.02
571925,6.4
573102,6.8
573106,6.3
573336,7.8
573362,5.7
574296,6.25
574341,5.7
574711,5.7
575109,7.83
575137,6.0
575559,5.3
576361,6.2
576445,6.1
577260,7.4
577562,4.4
577868,6.9
578094,5.1
578108,6.5
578850,4.5
579137,5.8
579653,7.13
579769,2.4
580146,5.6
580186,6.4
580316,6.1
580806,6.85
580856,7.0
580941,6.47
581071,7.75
581412,3.3
581816,7.45
581975,3.0
582176,6.35
582842,7.9
582877,6.6
582903,6.7
583045,7.3
583077,6.28
583081,6.95
583261,6.1
583665,7.1
583672,7.05
583776,5.8
583780,5.25
584475,7.3
584620,6.57
584866,6.37
585358,4.7
585445,5.73
586422,6.8
587017,4.1
587156,8.2
587380,5.0
587731,3.9
588905,3.6
589037,6.64
589527,7.3
590886,4.85
591270,8.0
591285,2.2
591591,7.25
591650,7.1
591988,5.0
592061,8.1
592073,7.1
592572,7.4
592612,6.3
593067,5.0
593224,2.3
593386,7.65
593749,7.2
593777,6.4
594116,4.4
594284,6.0
594328,4.3
594414,7.3
594436,4.7
594499,5.65
595674,7.45
596506,7.35
596651,7.8
596815,7.75
596900,5.2
597521,4.91
598568,6.93
598950,4.8
599528,5.8
599744,2.6
599746,6.6
600015,6.1
600021,5.85
600734,2.6
600768,3.8
600812,6.1
601204,5.4
601465,7.5
601636,6.3
601678,4.6
601839,7.3
602676,6.9
602863,5.7
602867,6.6
602980,6.55
603084,5.1
603168,6.65
603295,6.15
603315,5.7
603458,5.75
603504,7.23
604133,6.4
604218,6.6
604373,7.55
604604,6.1
605109,4.7
605661,6.81
605800,6.4
606524,4.1
606635,5.9
606863,6.45
607324,6.5
607497,5.0
607722,6.6
