Actor,Rating
537554,6.92
537557,6.69
537569,6.9
537575,6.23
537580,6.1
537619,3.7
537620,6.2
537638,7.2
537639,2.0
537664,7.2
537665,7.2
537668,4.2
537684,5.0
537691,6.1
537697,5.7
537703,7.4
537713,5.2
537718,6.9
537720,7.4
537738,6.3
537740,7.0
537741,6.9
537764,4.0
537772,6.2
537774,4.7
537778,6.4
537780,6.1
537783,6.1
537799,5.6
537801,4.1
537808,6.5
537821,4.4
537838,7.4
537847,7.7
537856,4.8
537857,5.7
537862,7.04
537865,7.4
537877,5.93
537882,5.3
537885,5.4
537892,3.7
537896,5.7
537901,4.6
537906,6.3
537909,7.35
537915,7.6
537922,5.43
537928,5.4
537937,6.98
537942,4.9
537951,6.1
537957,7.3
537960,6.3
537963,7.3
537979,5.5
537983,6.9
538013,6.2
538021,7.3
538028,5.9
538032,6.1
538040,3.8
538050,6.1
538069,6.0
538078,6.2
538080,7.7
538092,5.4
538101,7.1
538134,6.5
538154,7.43
538158,7.1
538168,4.6
538182,7.2
538213,6.6
538218,7.4
538234,6.3
538238,6.2
538261,5.6
538271,5.15
538272,5.5
538281,7.5
538283,7.5
538296,6.0
538302,5.8
538303,7.1
538309,6.9
538315,7.3
538316,4.5
538317,5.6
538358,6.7
538364,6.29
538382,6.3
538399,4.45
538401,5.9
538406,6.4
538419,3.4
538461,7.05
538495,7.4
538498,6.5
538509,6.6
538514,5.9
538545,5.87
538558,7.6
538573,6.0
538583,5.8
538586,5.8
538597,5.66
538601,6.4
538608,5.6
538610,6.2
538632,7.3
538650,2.7
538657,6.2
538658,6.2
538667,6.0
538671,6.2
538676,6.5
538678,5.4
538687,5.8
538713,6.5
538720,6.7
538721,6.4
538739,7.1
538747,3.2
538754,6.5
538767,8.0
538775,6.7
538777,6.2
538843,7.85
538864,8.4
538877,4.3
538898,6.9
538902,6.15
538903,6.2
538904,5.7
538905,6.17
538933,5.83
538952,5.5
538968,5.4
538991,6.5
539009,6.5
539014,5.3
539020,7.2
539026,6.5
539042,7.4
539054,4.4
539074,6.7
539097,7.4
539113,7.8
539132,6.4
539156,6.2
539157,5.43
539166,6.6
539168,6.2
539216,5.9
539217,5.43
539233,7.9
539237,8.2
539245,7.1
539264,7.7
539267,5.45
539299,6.2
539306,3.4
539327,5.4
539351,6.8
539385,7.1
539395,6.8
539404,5.8
539422,7.5
539424,7.5
539427,5.9
539447,6.4
539450,5.4
539458,6.7
539480,6.1
539497,7.7
539502,6.4
539518,4.0
539527,4.6
539530,4.5
539534,7.1
539537,7.9
539544,5.35
539548,7.4
