"","Film","Rating","Actor.Group1","Actor.Group2","Actor.Group3","Actor.Group4","Director","Producer","Writer"
"3287","2306185",6.2,0,1,20,0,6.9333332379659,6.27149652818433,7.17499995231628
"3288","2306260",6.5,0,1,51,0,6.29999995231628,6.62841666998285,6.57500004768372
"3289","2306290",5.8,0,0,3,0,6.5,5.9607640132308,6.5
"3290","2306311",7.8,0,0,1,1,7.80000019073486,7.53333346048991,7.80000019073486
"3291","2306423",5.1,0,1,82,0,5.09999990463257,5.04999991257985,5.09999990463257
"3292","2306453",5.3,0,1,28,0,5.5888888835907,4.99372558173011,4.95000016689301
"3293","2306467",6.1,0,1,50,0,6.19999998807907,6.35464285271508,6.54615380213811
"3294","2306478",4.4,0,11,12,0,5.625,5.05132557440369,4.68333339691162
"3295","2306762",6.1,0,2,57,0,6.17999992370605,6.20277769035763,6.72111103269789
"3296","2306799",4.9,0,18,26,0,5.46666669845581,5.61591417877762,6.08750003576279
"3297","2306822",5.6,0,3,20,0,5.29999987284342,5.47723927858543,5.35999987125397
"3298","2306983",2.7,0,6,3,0,2.70000004768372,2.70000004768372,2.70000004768372
"3299","2307103",7.3,0,0,58,4,7.73076919408945,7.21499995920393,7.55499997403887
"3300","2307176",6.3,0,0,5,0,6.30000019073486,6.30000019073486,6.30000019073486
"3301","2307233",6.5,0,0,9,0,6.5,6.63750000794729,6.39999997615814
"3302","2307249",4.6,0,21,3,0,4.59999990463257,5.60000002384186,4.59999990463257
"3303","2307258",4.7,0,8,7,0,4.69999980926514,4.53187483002742,4.69999980926514
"3304","2307428",5.7,0,2,32,0,5.74999992052714,6.07611105971866,6.25714272544498
"3305","2307448",7.3,0,1,5,0,7.30000019073486,7.30000019073486,7.30000019073486
"3306","2307461",8.8,0,0,1,3,8.80000019073486,8.09375014901161,8.80000019073486
"3307","2307498",7.9,0,0,4,8,7.90000009536743,7.90000009536743,7.90000009536743
"3308","2307679",4.6,0,11,16,0,5.16666650772095,5.09296291492603,4.88333320617676
