«»,Producer, Film, Rating, Budget, Year
41048,2749111,2890776,8.0,"$180,000,000",2012
41049,2749173,2339760,6.4,"$15,000,000",2007
41050,2749173,2489670,7.2,"$700,000",2001
41051,2749173,2603942,5.7,"$60,000",2007
41052,2749173,2809912,6.6,"$650,000",2010
41053,2749173,2885866,5.9,"$3,200,000",2012
41054,2749173,2972898,7.5,"$1,000,000",2005
41055,2749178,2901158,7.5,"$50,000,000",2003
41056,2749178,2927327,5.7,"$25,000,000",1994
41057,2749222,2173134,6.2,"$10,000,000",2001
41058,2749222,2209315,6.5,"$11,000,000",1990
41059,2749222,2370936,6.9,"$2,000,000",1988
41060,2749222,2768589,6.6,"$13,000,000",1994
41061,2750856,2388123,5.7,"$7,000,000",2013
41062,2751443,2653354,7.1,"$30,000,000",1999
41063,2751443,2963400,6.8,"$20,000,000",1995
41064,2751775,2907908,4.9,"$9,000,000",2006
41065,2751860,2743633,5.5,"$500,000",2011
41066,2752010,2320390,7.0,"€ 30,000",2007
41067,2752010,2484974,4.8,"€ 20,000",2009
41068,2752010,2999090,6.4,"€ 5,000",2007
41069,2753013,2231172,6.4,"$2,000,000",2013
41070,2753013,2243867,5.9,"$15,000,000",2013
41071,2753013,2532621,5.8,"$12,000,000",2013
41072,2753013,2877936,6.2,"$4,000,000",2013
41073,2753534,2374846,6.5,"$100,000,000",2006
41074,2753648,2532924,3.9,"$4,000,000",2012
41075,2753717,2128264,5.8,"$1,000,000",2006
41076,2754168,2642677,6.2,"$250,000",2008
41077,2754652,2783632,7.6,"HRK 400,000",2002
41078,2754665,2523665,6.6,"€ 900,000",2006
41079,2754971,2575773,5.4,"$4,800,000",1989
41080,2755013,2384468,8.1,"$23,000,000",2013
41081,2755573,2402356,5.3,"$120,000,000",2010
41082,2755573,2932808,7.4,"$75,000,000",2007
41083,2755588,3004109,7.2,"$500,000",2014
41084,2756822,2769884,7.0,"$70,000,000",1997
41085,2756951,2510388,7.4,"$35,000",2007
41086,2757205,2658193,5.8,"PTE 58,000,000",1988
41087,2757395,2640541,6.1,"$24,000,000",2005
41088,2757395,2964042,4.4,"€ 828,000",2005
41089,2757395,3048637,7.8,"€ 1,440,000",2005
41090,2757820,2785974,6.2,"BRL 5,000",2008
41091,2758628,2253702,7.9,"$20,000",2010
41092,2758628,2265955,7.4,"$1,200",2011
41093,2758628,2773885,3.8,"$3,000,000",2012
41094,2760084,2233748,3.1,"$30,000",2008
41095,2760175,2333960,6.5,"€ 450,000",2014
41096,2760293,2151325,6.9,"$32,500,000",2011
41097,2760803,2243057,5.2,"$250,000",2007
41098,2760984,2947892,5.1,"$43,000",1992
41099,2761248,2448023,6.7,"$35,000",2010
41100,2761248,2588673,5.6,"$12,000",2007
41101,2761453,2042146,4.8,"BRL 1,000",2013
41102,2761453,2569864,5.4,"BRL 3,900,000",2007
41103,2761453,2712211,7.0,"BRL 3,000,000",2004
41104,2761584,2401143,7.1,"$85,000,000",2012
41105,2761584,2655334,6.2,"$85,000,000",2006
41106,2761584,2819645,5.4,"$120,000,000",2002
41107,2761627,2794623,6.0,"$6,000,000",2012
41108,2761902,3028837,5.7,"$40,000,000",2012
41109,2761942,2034841,6.6,"$1,500",2004
41110,2762180,2549332,4.4,"$10,000",2014
41111,2762334,2124429,7.5,"$6,000,000",2001
41112,2762334,2269346,7.4,"$2,500,000",1989
41113,2762334,2328747,6.3,"$12,000,000",2008
41114,2762334,2955140,8.0,"$2,500,000",1984
41115,2762334,3018178,7.6,"$4,000,000",1996
41116,2762612,2153110,5.9,"$350,000",2008
41117,2762794,2276748,7.1,"$80,000",2004
41118,2763048,3012527,3.4,"$1,200,000",2014
41119,2763650,2562044,6.3,"$20,000,000",2013
41120,2763849,2303968,3.8,"$1,200,000",2010
41121,2763849,2889790,5.1,"$4,500,000",2010
41122,2764278,2261919,7.8,"$35,000,000",1997
41123,2764278,2473220,7.1,"$11,000,000",2005
41124,2764278,2637892,6.3,"$24,000,000",2001
41125,2764278,2716432,8.0,"$25,000,000",1988
41126,2764278,2931577,6.8,"$4,000,000",2006
41127,2765374,2471396,5.4,"$25,000,000",2002
41128,2765934,2025884,6.3,"€ 1,200,000",2013
41129,2765934,2467211,4.6,"€ 825,000",2006
41130,2765934,2965623,5.3,"€ 1,110,019",2009
41131,2765996,2191482,6.5,"€ 2,150,000",2013
41132,2765996,2584235,6.4,"€ 1,800,000",2013
41133,2765996,2980933,6.2,"€ 245,000",2011
41134,2765996,3004352,6.1,"€ 748,000",2011
41135,2766338,2021557,6.9,"$200,000",2011
41136,2766367,2077027,7.8,"$8,900,000",2012
41137,2766367,2077027,7.8,"$8,900,000",2012
41138,2766367,2162050,7.3,"€ 8,000,000",2005
41139,2766367,2223349,7.8,"€ 12,000,000",2009
41140,2766367,2225661,6.5,"€ 3,746,500",2011
41141,2766367,2235301,7.4,"DEM 3,000,000",1977
41142,2766367,2246295,8.1,"€ 8,000,000",2013
41143,2766367,2278660,7.4,"€ 3,500,000",2008
41144,2767202,2387604,5.2,"€ 10,000,000",2008
41145,2767202,2387605,4.7,"€ 10,000,000",2011
41146,2767202,3004902,5.5,"€ 5,500,000",2014
41147,2767393,2616472,7.2,"$7,500,000",2002
41148,2767393,2619708,7.1,"$5,000,000",1987
41149,2767393,2835008,6.6,"$30,000,000",2006
41150,2767393,2860460,6.4,"$900,000",2012
41151,2767393,3007838,6.3,"$10,000,000",1999
41152,2767478,2314263,7.7,"$18,500,000",1998
41153,2767656,2429275,5.1,"CAD 4,000,000",2013
41154,2767934,2858574,4.5,"$400,000",2007
41155,2768709,2365076,3.8,"$7,500,000",1987
41156,2768709,2365076,3.8,"$7,500,000",1987
41157,2768792,2190144,3.4,"$2,300,000",2004
41158,2769003,2461485,6.0,"$3,000,000",1997
41159,2769003,2595435,7.4,"INR 7,000,000",2001
41160,2769149,2757122,5.7,"$650,000",2004
41161,2770425,2621319,7.9,"CZK 100,000",2005
41162,2770982,2538039,8.0,"$6,500",2014
41163,2771063,2423416,4.0,"$1,005,000",2014
41164,2771063,2874742,4.0,"$1,500,000",2009
41165,2771094,2899282,7.7,"$140,000,000",2004
41166,2771462,2643759,7.8,"€ 40,000,000",2010
41167,2771574,2229849,5.9,"$20,000,000",2008
41168,2771574,2436310,6.8,"$27,000,000",1988
41169,2771574,3007726,5.8,"$75,000,000",2000
41170,2771574,3007726,5.8,"$75,000,000",2000
41171,2772092,2120596,7.4,"£1,000",2013
41172,2772465,2842170,4.9,"$30,000,000",2010
41173,2772581,2541163,7.8,"$18,000",2007
41174,2772581,2541163,7.8,"$18,000",2007
41175,2772668,2743633,5.5,"$500,000",2011
41176,2773072,2146606,5.7,"€ 3,600,000",2006
41177,2773072,2220423,5.4,"$10,600,000",2002
41178,2773072,2286903,5.6,"€ 2,500,000",2002
41179,2773072,2337612,6.2,"€ 7,000,000",2006
41180,2773072,2475265,5.4,"€ 2,000,000",2008
41181,2773072,2611681,4.2,"MXN 37,700,000",2014
41182,2773072,2845087,6.4,"ESP 600,000,000",1997
41183,2773072,2849165,5.7,"€ 3,000,000",2005
41184,2773072,2904650,7.8,"$5,000,000",2004
41185,2773072,2973679,6.7,"$15,000,000",2008
41186,2773072,3011549,6.6,"MXN 30,000,000",2007
41187,2773296,2094899,5.6,"$2,500,000",2002
41188,2773296,2207953,6.8,"$2,000,000",1993
41189,2773296,2283354,7.5,"$4,500,000",2001
41190,2773296,2284597,8.3,"€ 13,500,000",2006
41191,2773296,2578695,7.6,"$2,500,000",1998
41192,2773360,2520527,5.7,"$500,000",2013
41193,2773405,2399714,5.7,"$200,000",2013
41194,2773405,2399714,5.7,"$200,000",2013
41195,2773849,2327705,6.0,"$850,000",2013
41196,2773984,2845886,6.9,"$5,000,000",2009
41197,2773984,2983289,4.9,"$7,000,000",2012
41198,2774058,2750250,6.5,"$350,000",1923
41199,2775225,2547716,6.4,"$45,000,000",2008
41200,2775225,2981181,5.3,"$10,000,000",2007
41201,2775300,2878663,4.8,"$2,000,000",2010
41202,2775590,2918888,4.0,"$1,000,000",2006
41203,2776359,2408854,7.6,"$22,000,000",2002
41204,2776359,2936759,5.9,"$50,000,000",2000
41205,2776822,2310247,5.3,"DKK 25,500,000",2004
41206,2776822,3055448,5.8,"DKK 11,000,000",2002
41207,2777270,2470806,7.9,"$300,000",2008
41208,2777270,2470806,7.9,"$300,000",2008
41209,2778528,2884173,6.0,"$1,000,000",2007
41210,2778628,2054073,6.9,"$500,000",2012
41211,2778628,2370294,7.9,"$400,000",2004
41212,2778628,2468471,7.5,"$2,500,000",2008
41213,2778628,2574470,8.0,"$1,000,000",2012
41214,2778628,2847631,7.2,"$223,391",2014
41215,2778694,2956560,8.0,"$175,000",2011
41216,2778793,2471325,5.4,"$500,000",2004
41217,2778958,2863949,4.4,"CAD 1,000,000",2007
41218,2779584,2126850,5.2,"$300,000",2013
41219,2780172,2116459,6.1,"$1,500,000",2010
41220,2780460,2311351,8.7,"$20,000",2007
41221,2780519,2116459,6.1,"$1,500,000",2010
41222,2780519,2156216,7.2,"$1,000,000",2013
41223,2780519,2261642,7.1,"$3,000,000",2008
41224,2780570,2529255,3.6,"$300,000",1998
41225,2781192,2898786,5.6,"$50,000",2012
41226,2781659,2269067,5.5,"$45,000,000",1994
41227,2781659,2788030,5.7,"$70,000,000",1998
41228,2781736,2470647,8.2,"$30,000,000",2003
41229,2781736,2470648,8.0,"$30,000,000",2004
41230,2781736,3040631,5.6,"$5,000,000",2011
41231,2782470,2458140,6.1,"€ 22,000,000",2013
41232,2782831,2279520,7.6,"DEM 4,000,000",1997
41233,2783238,2039837,7.9,"$500,000",2013
41234,2783362,2652176,5.6,"$16,000,000",2001
41235,2783736,2844679,6.7,"$200,000,000",2008
41236,2783736,2972531,7.0,"$22,000,000",2008
41237,2783906,2577998,7.0,"$50,000",2006
41238,2784880,2789144,3.3,"SEK 7,000,000",2012
41239,2785831,2733553,6.3,"$15,000",2004
41240,2787218,2983515,8.3,"$100,000",2009
41241,2787496,2876716,7.1,"$75,000",2006
41242,2787564,2787372,5.4,"€ 1,552,334",2010
41243,2788220,2729652,6.4,"$7,600,000",2005
41244,2788387,2831918,6.9,"€ 430,000",2010
41245,2789011,2707660,7.0,"$2,000,000",2014
41246,2789143,2750604,7.4,"AUD 2,000,000",2006
41247,2789326,2830792,3.3,"$600,000",2013
41248,2789447,2398564,6.3,"$30,000,000",2012
41249,2789812,2312715,3.6,"$5,000,000",2008
41250,2789812,2676741,4.5,"$2,000,000",2012
41251,2789926,2080843,6.0,"€ 100,000",2011
41252,2789926,2100982,6.2,"€ 1,175,000",2012
41253,2789926,2477042,7.2,"€ 15,000",2008
41254,2790202,2352424,5.0,"$12,000,000",1996
41255,2790223,2926352,6.0,"€ 3,000,000",2003
41256,2790278,2064787,8.2,"$1,500,000",2013
41257,2790508,2314674,4.6,"SEK 30,000",2013
41258,2790508,2314674,4.6,"SEK 30,000",2013
41259,2790608,2491964,7.7,"$18,000,000",1995
41260,2791573,2878266,5.7,"$1,000,000",2010
41261,2792448,2030345,5.0,"$1,500,000",2012
41262,2792995,2090428,5.1,"$6,000,000",1995
41263,2792995,2601985,5.8,"$3,500,000",2000
41264,2792995,2899400,5.1,"$3,500,000",2000
41265,2793731,2414362,4.3,"$100,000",2006
41266,2793836,2532223,7.6,"CAD 20,000",2013
41267,2794001,3006288,6.3,"$50,000",2013
41268,2794053,2117284,6.3,"$22,000,000",1997
41269,2794053,2438661,7.0,"$6,000,000",2007
41270,2794140,2153683,6.7,"$25,000,000",2010
41271,2794475,2719105,5.2,"€ 1,690,000",2012
41272,2794497,2153670,6.4,"$8,000,000",2004
41273,2794599,2743521,6.9,"$2,500",2009
41274,2795096,2847631,7.2,"$223,391",2014
41275,2795131,2933502,6.6,"$12,000,000",2003
41276,2795286,2935601,6.1,"€ 600,000",2013
41277,2795536,2374953,6.7,"$1,625,000",2003
41278,2795536,2653420,5.7,"$800,000",1996
41279,2795566,2147704,8.0,"$4,000,000",2002
41280,2795566,2308595,7.5,"$6,000,000",2003
41281,2795566,2782580,8.1,"$9,000,000",2007
41282,2795770,2340100,3.7,"$35,000,000",2010
41283,2796035,2412940,6.3,"$1,500,000",2006
41284,2796112,2318432,6.6,"$200,000",2006
41285,2796112,2457910,6.4,"$1,200,000",1997
41286,2796112,3019183,7.3,"$4,500,000",1999
41287,2796890,2692427,3.1,"$2,500,000",2008
41288,2796959,2086018,6.0,"$4,000,000",2011
41289,2796959,2896422,7.1,"$3,500,000",2010
41290,2796959,3028526,7.5,"$6,000,000",2013
41291,2797384,2506696,3.2,"$2,000,000",2006
41292,2797665,2064724,7.0,"$17,000",2008
41293,2797862,2557433,7.0,"£10,000",2013
41294,2798046,2053015,4.8,"$25,000,000",2002
